price,weight,storage,battery_life,cpu,ram
857.0,1.37,128.0,,Intel Core i5 2.3GHz,8
575.0,1.34,128.0,,Intel Core i5 1.8GHz,8
368.0,1.86,256.0,,Intel Core i5 7200U 2.5GHz,8
1622.0,1.83,512.0,,Intel Core i7 2.7GHz,16
1153.0,1.37,256.0,,Intel Core i5 3.1GHz,8
256.0,2.1,500.0,,AMD A9-Series 9420 3GHz,4
1368.0,2.04,256.0,,Intel Core i7 2.2GHz,16
741.0,1.34,256.0,,Intel Core i5 1.8GHz,8
956.0,1.3,512.0,,Intel Core i7 8550U 1.8GHz,16
492.0,1.6,256.0,,Intel Core i5 8250U 1.6GHz,8
252.0,1.86,500.0,,Intel Core i5 7200U 2.5GHz,4
221.0,1.86,500.0,,Intel Core i3 6006U 2GHz,4
1560.0,1.83,256.0,,Intel Core i7 2.8GHz,16
319.0,2.2,256.0,,Intel Core i3 6006U 2GHz,4
807.0,0.92,256.0,,Intel Core M m3 1.2GHz,8
971.0,1.37,256.0,,Intel Core i5 2.3GHz,8
476.0,2.2,256.0,,Intel Core i7 7500U 2.7GHz,8
1827.0,1.83,512.0,,Intel Core i7 2.9GHz,16
319.0,2.2,1024.0,,Intel Core i3 7100U 2.4GHz,8
626.0,1.22,128.0,,Intel Core i5 8250U 1.6GHz,8
123.0,0.98,32.0,,Intel Atom x5-Z8350 1.44GHz,2
639.0,2.5,1152.0,,Intel Core i5 7300HQ 2.5GHz,8
165.0,1.86,500.0,,AMD E-Series E2-9000e 1.5GHz,4
524.0,1.62,256.0,,Intel Core i5 8250U 1.6GHz,8
421.0,1.91,256.0,,Intel Core i7 8550U 1.8GHz,8
268.0,2.3,1024.0,,Intel Core i3 6006U 2GHz,4
703.0,1.35,128.0,,Intel Core i5 1.6GHz,8
511.0,2.2,256.0,,Intel Core i5 8250U 1.6GHz,8
830.0,1.88,512.0,,Intel Core i7 8650U 1.9GHz,8
573.0,2.5,1024.0,,Intel Core i5 8250U 1.6GHz,8
157.0,1.89,64.0,,Intel Atom x5-Z8300 1.44GHz,4
127.0,1.65,32.0,,AMD E-Series E2-6110 1.5GHz,2
281.0,2.71,500.0,,AMD A6-Series 9220 2.5GHz,4
1195.0,1.2,512.0,,Intel Core i7 8550U 1.8GHz,16
638.0,1.35,256.0,,Intel Core i5 1.6GHz,8
159.0,1.44,64.0,,Intel Celeron Dual Core N3350 1.1GHz,4
235.0,2.1,1024.0,,Intel Core i3 7130U 2.7GHz,4
626.0,2.8,1152.0,,Intel Core i5 8250U 1.6GHz,8
312.0,1.86,1024.0,,Intel Core i5 7200U 2.5GHz,4
562.0,2.1,256.0,,Intel Core i5 8250U 1.6GHz,8
249.0,2.0,1024.0,,Intel Core i3 6006U 2GHz,4
958.0,2.65,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
334.0,2.3,1024.0,,Intel Core i5 7200U 2.5GHz,8
436.0,2.2,256.0,,Intel Core i5 8250U 1.6GHz,4
639.0,2.77,1024.0,,Intel Core i5 8250U 1.6GHz,12
907.0,1.37,256.0,,Intel Core i5 2.0GHz,8
236.0,2.2,128.0,,Intel Core i3 6006U 2GHz,4
