model,variant,DVR,DVR_ci,n_chains,SRR,SRR_ci,RR,RR_ci,rank_DVR,rank_DVR_ci,chain_fully_consistent,pairwise_flip_rate,DVR_battery_life,DVR_price,DVR_storage,DVR_weight,DVR_type_A,DVR_type_A_fallback_from_B,DVR_type_B,DVR_type_C,DVR_fam_T1,DVR_fam_T2,DVR_fam_T3
qwen2.5-14b-instruct,plain,0.08244994110718491,"[0.0707,0.0948]",566,0.0029446407538280327,"[0.0006,0.0059]",0.4075382803297998,"[0.3893,0.4264]",0.04004711425206124,"[0.0306,0.0501]",0.7632508833922261,0.028150765606595997,0.09111111111111111,0.10317460317460317,0.053613053613053616,0.08390022675736962,0.06349206349206349,0.17037037037037037,0.12979351032448377,0.054613935969868174,0.07583774250440917,0.0975177304964539,0.07407407407407407
qwen2.5-14b-instruct,structured,0.15114235500878734,"[0.1359,0.1670]",569,0.0058582308142940825,"[0.0023,0.0100]",0.28002343292325715,"[0.2595,0.2988]",0.03925014645577036,"[0.0299,0.0486]",0.6010544815465729,0.015172817809021674,0.2311111111111111,0.1524547803617571,0.1048951048951049,0.11337868480725624,0.15669515669515668,0.22962962962962963,0.1504424778761062,0.12429378531073447,0.15873015873015872,0.16140350877192983,0.13333333333333333
qwen2.5-14b-instruct,explain_then_rank,0.2879581151832461,"[0.2693,0.3066]",573,0.012216404886561954,"[0.0076,0.0175]",0.45200698080279234,"[0.4346,0.4700]",0.08726003490401396,"[0.0739,0.1001]",0.30715532286212915,0.05142524723676556,0.3688888888888889,0.2702020202020202,0.25925925925925924,0.2494331065759637,0.28973277074542897,0.37777777777777777,0.2573099415204678,0.2824858757062147,0.2949389179755672,0.3019197207678883,0.2670157068062827
qwen2.5-14b-instruct,direction_constraint,0.08274647887323944,"[0.0698,0.0957]",568,0.0017605633802816902,"[0.0000,0.0041]",0.3321596244131455,"[0.3116,0.3521]",0.03814553990610328,"[0.0299,0.0475]",0.7746478873239436,0.022007042253521125,0.06444444444444444,0.11286089238845144,0.07407407407407407,0.08390022675736962,0.0754985754985755,0.08148148148148149,0.13988095238095238,0.05649717514124294,0.07407407407407407,0.09473684210526316,0.07936507936507936
llama-3.1-8b-instruct,plain,0.12387791741472172,"[0.1095,0.1388]",557,0.009575104727707959,"[0.0054,0.0144]",0.3704368641532017,"[0.3513,0.3908]",0.03650508677438659,"[0.0275,0.0467]",0.644524236983842,0.03764213046080192,0.09070294784580499,0.16666666666666666,0.09523809523809523,0.14814814814814814,0.09970238095238096,0.17777777777777778,0.1921921921921922,0.09792843691148775,0.12972972972972974,0.14054054054054055,0.10160427807486631
llama-3.1-8b-instruct,structured,0.13416815742397137,"[0.1187,0.1509]",559,0.011926058437686344,"[0.0072,0.0173]",0.3225998807394156,"[0.3029,0.3441]",0.031007751937984496,"[0.0227,0.0400]",0.6422182468694096,0.03822301729278474,0.11564625850340136,0.1968503937007874,0.07380952380952381,0.15632183908045977,0.13043478260869565,0.18518518518518517,0.13392857142857142,0.12596899224806202,0.13368983957219252,0.15151515151515152,0.11711711711711711
llama-3.1-8b-instruct,explain_then_rank,0.3304042179261863,"[0.3117,0.3486]",569,0.0351493848857645,"[0.0269,0.0439]",0.5213825424721733,"[0.5044,0.5390]",0.18629173989455183,"[0.1716,0.2027]",0.20738137082601055,0.10609256004686586,0.3691275167785235,0.31565656565656564,0.2605633802816901,0.3721461187214612,0.32763532763532766,0.3851851851851852,0.3128654970760234,0.3314393939393939,0.3298245614035088,0.3157894736842105,0.345679012345679
llama-3.1-8b-instruct,direction_constraint,0.11214374225526641,"[0.0973,0.1270]",538,0.007434944237918215,"[0.0037,0.0118]",0.2955390334572491,"[0.2757,0.3160]",0.035935563816604704,"[0.0273,0.0458]",0.6895910780669146,0.03711276332094176,0.047961630695443645,0.12860892388451445,0.12760416666666666,0.14583333333333334,0.11782945736434108,0.05555555555555555,0.19135802469135801,0.06936416184971098,0.10740740740740741,0.13703703703703704,0.09176029962546817
glm-4-9b-chat,plain,0.03496503496503497,"[0.0262,0.0437]",572,0.008158508158508158,"[0.0047,0.0128]",0.1911421911421911,"[0.1719,0.2092]",0.03613053613053613,"[0.0280,0.0449]",0.8986013986013986,0.04772727272727272,0.015555555555555555,0.06060606060606061,0.027777777777777776,0.03881278538812785,0.03656821378340366,0.0,0.05263157894736842,0.030303030303030304,0.034904013961605584,0.03859649122807018,0.031413612565445025
glm-4-9b-chat,structured,0.059918557300756244,"[0.0489,0.0710]",573,0.008144269924374635,"[0.0041,0.0128]",0.1559045956951716,"[0.1390,0.1728]",0.03664921465968586,"[0.0279,0.0460]",0.8307155322862129,0.03089005235602094,0.03333333333333333,0.11363636363636363,0.05555555555555555,0.04308390022675737,0.05907172995780591,0.037037037037037035,0.0847953216374269,0.05084745762711865,0.05759162303664921,0.06457242582897033,0.05759162303664921
glm-4-9b-chat,explain_then_rank,0.2465034965034965,"[0.2296,0.2652]",572,0.02564102564102564,"[0.0186,0.0338]",0.391025641025641,"[0.3718,0.4114]",0.1451048951048951,"[0.1300,0.1608]",0.3706293706293706,0.09452214452214451,0.22371364653243847,0.2702020202020202,0.2777777777777778,0.21768707482993196,0.24613220815752462,0.2074074074074074,0.23976608187134502,0.26136363636363635,0.24912280701754386,0.23909249563699825,0.2513089005235602
glm-4-9b-chat,direction_constraint,0.03723094822571262,"[0.0285,0.0460]",573,0.0075625363583478765,"[0.0035,0.0122]",0.16579406631762653,"[0.1483,0.1838]",0.03432228039557882,"[0.0262,0.0430]",0.8900523560209425,0.041652123327516,0.011111111111111112,0.04040404040404041,0.05555555555555555,0.04308390022675737,0.030942334739803096,0.0,0.07017543859649122,0.03389830508474576,0.03664921465968586,0.03315881326352531,0.041884816753926704
rule_baseline,plain,0.0,"[0.0000,0.0000]",573,0.0,"[0.0000,0.0000]",0.8184991273996509,"[0.7941,0.8424]",0.013961605584642234,"[0.0087,0.0192]",1.0,0.008202443280977313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
